56.7,4.237,4.56,5.003,5.509,5.975
56.8,4.26,4.584,5.03,5.539,6.007
56.9,4.283,4.608,5.057,5.568,6.039
57,4.305,4.633,5.084,5.598,6.071
57.1,4.328,4.657,5.11,5.627,6.103
57.2,4.35,4.681,5.137,5.657,6.135
57.3,4.373,4.706,5.164,5.686,6.167
57.4,4.396,4.73,5.191,5.716,6.199
57.5,4.418,4.754,5.217,5.745,6.231
57.6,4.441,4.779,5.244,5.774,6.263
57.7,4.463,4.803,5.271,5.804,6.295
57.8,4.486,4.827,5.297,5.833,6.327
57.9,4.508,4.851,5.324,5.863,6.359
58,4.531,4.876,5.351,5.892,6.391
58.1,4.553,4.9,5.377,5.921,6.423
58.2,4.576,4.924,5.404,5.951,6.454
58.3,4.598,4.948,5.43,5.98,6.486
58.4,4.621,4.972,5.457,6.009,6.518
58.5,4.643,4.997,5.483,6.038,6.55
58.6,4.665,5.021,5.51,6.067,6.581
58.7,4.688,5.045,5.536,6.097,6.613
58.8,4.71,5.069,5.563,6.126,6.644
58.9,4.732,5.093,5.589,6.155,6.676
59,4.754,5.116,5.615,6.184,6.707
59.1,4.777,5.14,5.641,6.212,6.738
59.2,4.799,5.164,5.667,6.241,6.77
59.3,4.821,5.188,5.694,6.27,6.801
59.4,4.843,5.212,5.72,6.299,6.832
59.5,4.865,5.235,5.745,6.327,6.863
59.6,4.887,5.259,5.771,6.356,6.894
59.7,4.908,5.282,5.797,6.384,6.925
59.8,4.93,5.306,5.823,6.412,6.956
59.9,4.952,5.329,5.849,6.441,6.986
60,4.974,5.352,5.874,6.469,7.017
60.1,4.995,5.376,5.9,6.497,7.047
60.2,5.017,5.399,5.925,6.525,7.078
60.3,5.038,5.422,5.951,6.553,7.108
60.4,5.06,5.445,5.976,6.581,7.139
60.5,5.081,5.468,6.001,6.609,7.169
60.6,5.103,5.491,6.027,6.637,7.199
60.7,5.124,5.514,6.052,6.665,7.229
60.8,5.145,5.537,6.077,6.692,7.259
60.9,5.166,5.56,6.102,6.72,7.289
61,5.188,5.583,6.127,6.747,7.319
61.1,5.209,5.605,6.152,6.775,7.349
61.2,5.23,5.628,6.177,6.802,7.378
61.3,5.251,5.651,6.202,6.83,7.408
61.4,5.272,5.673,6.226,6.857,7.438
61.5,5.293,5.696,6.251,6.884,7.467
61.6,5.314,5.718,6.276,6.911,7.497
61.7,5.335,5.741,6.3,6.938,7.526
61.8,5.355,5.763,6.325,6.965,7.555
61.9,5.376,5.786,6.349,6.992,7.584
62,5.397,5.808,6.374,7.019,7.614
62.1,5.417,5.83,6.398,7.046,7.643
62.2,5.438,5.852,6.422,7.073,7.671
62.3,5.459,5.874,6.447,7.099,7.7
62.4,5.479,5.896,6.471,7.126,7.729
62.5,5.499,5.918,6.495,7.152,7.758
62.6,5.52,5.94,6.519,7.179,7.787
62.7,5.54,5.962,6.543,7.205,7.815
62.8,5.561,5.984,6.567,7.231,7.844
62.9,5.581,6.005,6.591,7.258,7.872
63,5.601,6.027,6.614,7.284,7.9
63.1,5.621,6.049,6.638,7.31,7.929
63.2,5.641,6.071,6.662,7.336,7.957
63.3,5.661,6.092,6.686,7.362,7.985
63.4,5.681,6.114,6.709,7.388,8.013
63.5,5.701,6.135,6.733,7.414,8.041
63.6,5.721,6.157,6.756,7.44,8.069
63.7,5.741,6.178,6.78,7.466,8.097
63.8,5.761,6.2,6.803,7.491,8.125
63.9,5.781,6.221,6.827,7.517,8.153
64,5.801,6.242,6.85,7.543,8.181
64.1,5.821,6.264,6.873,7.568,8.209
64.2,5.841,6.285,6.897,7.594,8.236
64.3,5.86,6.306,6.92,7.62,8.264
64.4,5.88,6.327,6.943,7.645,8.292
64.5,5.9,6.348,6.966,7.67,8.319
64.6,5.919,6.369,6.989,7.696,8.347
64.7,5.939,6.391,7.012,7.721,8.374
64.8,5.959,6.412,7.035,7.746,8.401
64.9,5.978,6.432,7.058,7.772,8.429
65,5.997,6.453,7.081,7.797,8.456
65.1,6.017,6.474,7.104,7.822,8.483
65.2,6.036,6.495,7.127,7.847,8.51
65.3,6.056,6.516,7.15,7.872,8.537
65.4,6.075,6.537,7.172,7.897,8.564
65.5,6.094,6.557,7.195,7.922,8.591
65.6,6.114,6.578,7.218,7.947,8.618
65.7,6.133,6.599,7.24,7.971,8.645
65.8,6.152,6.619,7.263,7.996,8.671
